Zeit,2485890083,2485889417,2485890828,2138497445,2485891313
07:14:13,,,closing valve,,
07:14:13,,,,opening valve,
07:14:15,,,,closing valve,
07:14:16,,,,,opening valve
07:14:18,,,,,closing valve
07:14:23,opening valve,,,,
07:14:25,closing valve,,,,
07:14:26,,opening valve,,,
07:14:28,,closing valve,,,
07:14:28,,,opening valve,,
07:14:30,,,closing valve,,
07:14:31,,,,opening valve,
07:14:33,,,,closing valve,
07:14:33,,,,,opening valve
07:14:35,,,,,closing valve
07:14:41,opening valve,,,,
07:14:43,closing valve,,,,
07:14:44,,opening valve,,,
07:14:46,,closing valve,,,
07:14:46,,,opening valve,,
07:14:48,,,closing valve,,
07:14:49,,,,opening valve,
07:14:51,,,,closing valve,
07:14:51,,,,,opening valve
07:14:53,,,,,closing valve
07:14:59,opening valve,,,,
07:15:01,no connection,,,,
07:15:03,,no connection,,,
07:15:04,,no connection,,,
07:15:06,,,no connection,,
07:15:06,,,no connection,,
07:15:06,,,,opening valve,
07:15:09,,,,closing valve,
07:15:09,,,,,opening valve
07:15:11,,,,,closing valve
07:15:19,no connection,,,,
07:15:19,no connection,,,,
07:15:21,,no connection,,,
07:15:22,,no connection,,,
07:15:24,,,no connection,,
07:15:24,,,no connection,,
07:15:24,,,,opening valve,
07:15:26,,,,closing valve,
07:15:27,,,,,opening valve
07:15:29,,,,,closing valve
07:15:34,opening valve,,,,
07:15:36,closing valve,,,,
07:15:37,,opening valve,,,
07:15:39,,closing valve,,,
07:15:41,,,no connection,,
07:15:42,,,no connection,,
07:15:42,,,,opening valve,
07:15:44,,,,closing valve,
07:15:45,,,,,opening valve
07:15:47,,,,,closing valve
07:15:52,opening valve,,,,
07:15:54,closing valve,,,,
07:15:55,,opening valve,,,
07:15:57,,closing valve,,,
07:15:59,,,no connection,,
07:16:00,,,no connection,,
07:16:00,,,,opening valve,
07:16:02,,,,closing valve,
07:16:02,,,,,opening valve
07:16:04,,,,,closing valve
07:16:10,opening valve,,,,
07:16:12,closing valve,,,,
07:16:12,,opening valve,,,
07:16:14,,closing valve,,,
07:16:17,,,no connection,,
07:16:18,,,no connection,,
07:16:18,,,,opening valve,
07:16:20,,,,closing valve,
07:16:20,,,,,opening valve
07:16:22,,,,,closing valve
07:16:28,opening valve,,,,
07:16:30,closing valve,,,,
07:16:30,,opening valve,,,
07:16:32,,closing valve,,,
07:16:35,,,no connection,,
07:16:35,,,no connection,,
07:16:35,,,,opening valve,
07:16:37,,,,closing valve,
07:16:38,,,,,opening valve
07:16:40,,,,,closing valve
07:16:45,opening valve,,,,
07:16:47,closing valve,,,,
07:16:48,,opening valve,,,
07:16:50,,closing valve,,,
07:16:51,,,opening valve,,
07:16:53,,,closing valve,,
07:16:53,,,,opening valve,
07:16:55,,,,closing valve,
07:16:56,,,,,opening valve
07:16:58,,,,,closing valve
07:17:03,opening valve,,,,
07:17:05,closing valve,,,,
07:17:06,,opening valve,,,
07:17:08,,closing valve,,,
07:17:08,,,opening valve,,
07:17:10,,,closing valve,,
07:17:11,,,,opening valve,
07:17:13,,,,closing valve,
07:17:13,,,,,opening valve
07:17:15,,,,,closing valve
07:17:21,opening valve,,,,
07:17:23,closing valve,,,,
07:17:24,,opening valve,,,
07:17:26,,closing valve,,,
07:17:26,,,opening valve,,
07:17:28,,,closing valve,,
07:17:29,,,,opening valve,
07:17:31,,,,closing valve,
07:17:31,,,,,opening valve
07:17:33,,,,,closing valve
07:17:39,opening valve,,,,
07:17:41,closing valve,,,,
07:17:41,,opening valve,,,
07:17:43,,closing valve,,,
07:17:44,,,opening valve,,
07:17:46,,,closing valve,,
07:17:46,,,,opening valve,
07:17:48,,,,closing valve,
07:17:49,,,,,opening valve
07:17:51,,,,,closing valve
07:17:57,opening valve,,,,
07:17:59,closing valve,,,,
07:17:59,,opening valve,,,
07:18:01,,closing valve,,,
07:18:02,,,opening valve,,
07:18:04,,,closing valve,,
07:18:04,,,,opening valve,
07:18:06,,,,closing valve,
07:18:07,,,,,opening valve
07:18:09,,,,,closing valve
07:18:14,opening valve,,,,
07:18:16,closing valve,,,,
07:18:17,,opening valve,,,
07:18:19,,closing valve,,,
07:18:19,,,opening valve,,
07:18:21,,,closing valve,,
07:18:22,,,,opening valve,
07:18:24,,,,closing valve,
07:18:25,,,,,opening valve
07:18:27,,,,,closing valve
07:18:34,no connection,,,,
07:18:35,no connection,,,,
07:18:37,,no connection,,,
07:18:37,,no connection,,,
07:18:39,,,no connection,,
07:18:40,,,no connection,,
07:18:42,,,,no connection,
07:18:42,,,,no connection,
07:18:44,,,,,no connection
07:18:50,,,,,no connection
07:18:52,no connection,,,,
07:18:52,no connection,,,,
07:18:54,,no connection,,,
07:18:55,,no connection,,,
07:18:57,,,no connection,,
07:18:58,,,no connection,,
07:19:00,,,,no connection,
07:19:00,,,,no connection,
07:19:02,,,,,no connection
07:19:08,,,,,no connection
07:19:10,no connection,,,,
07:19:10,no connection,,,,
07:19:12,,no connection,,,
07:19:13,,no connection,,,
07:19:15,,,no connection,,
07:19:15,,,no connection,,
07:19:17,,,,no connection,
07:19:18,,,,no connection,
07:19:20,,,,,no connection
07:19:25,,,,,no connection
07:19:27,no connection,,,,
07:19:28,no connection,,,,
07:19:30,,no connection,,,
07:19:31,,no connection,,,
07:19:33,,,no connection,,
07:19:33,,,no connection,,
07:19:35,,,,no connection,
07:19:36,,,,no connection,
07:19:38,,,,,no connection
07:19:43,,,,,no connection
07:19:45,no connection,,,,
07:19:46,no connection,,,,
07:19:48,,no connection,,,
07:19:48,,no connection,,,
07:19:50,,,no connection,,
07:19:51,,,no connection,,
07:19:53,,,,no connection,
07:19:53,,,,no connection,
07:19:56,,,,,no connection
07:20:01,,,,,no connection
07:20:03,no connection,,,,
07:20:04,no connection,,,,
07:20:06,,no connection,,,
07:20:06,,no connection,,,
07:20:08,,,no connection,,
07:20:09,,,no connection,,
07:20:11,,,,no connection,
07:20:11,,,,no connection,
07:20:13,,,,,no connection
07:20:19,,,,,no connection
07:20:21,no connection,,,,
07:20:21,no connection,,,,
07:20:23,,no connection,,,
07:20:24,,no connection,,,
07:20:26,,,no connection,,
07:20:27,,,no connection,,
07:20:29,,,,no connection,
07:20:29,,,,no connection,
07:20:31,,,,,no connection
07:20:37,,,,,no connection
07:20:39,no connection,,,,
07:20:39,no connection,,,,
07:20:41,,no connection,,,
07:20:42,,no connection,,,
07:20:44,,,no connection,,
07:20:44,,,no connection,,
07:20:46,,,,no connection,
07:20:47,,,,no connection,
07:20:49,,,,,no connection
07:20:54,,,,,no connection
07:20:56,no connection,,,,
07:20:57,no connection,,,,
07:20:59,,no connection,,,
07:21:00,,no connection,,,
07:21:02,,,no connection,,
07:21:02,,,no connection,,
07:21:04,,,,no connection,
07:21:05,,,,no connection,
07:21:07,,,,,no connection
07:21:12,,,,,no connection
07:21:14,no connection,,,,
07:21:15,no connection,,,,
07:21:17,,no connection,,,
07:21:17,,no connection,,,
07:21:19,,,no connection,,
07:21:20,,,no connection,,
07:21:22,,,,no connection,
07:21:22,,,,no connection,
07:21:24,,,,,no connection
07:21:30,,,,,no connection
07:21:32,no connection,,,,
07:21:33,no connection,,,,
07:21:35,,no connection,,,
07:21:35,,no connection,,,
07:21:37,,,no connection,,
07:21:38,,,no connection,,
07:21:40,,,,no connection,
07:21:40,,,,no connection,
07:21:42,,,,,no connection
07:21:48,,,,,no connection
07:21:50,no connection,,,,
07:21:50,no connection,,,,
07:21:52,,no connection,,,
07:21:53,,no connection,,,
07:21:55,,,no connection,,
07:21:55,,,no connection,,
07:21:57,,,,no connection,
07:21:58,,,,no connection,
07:22:00,,,,,no connection
07:22:06,,,,,no connection
07:22:08,no connection,,,,
07:22:08,no connection,,,,
07:22:10,,no connection,,,
07:22:11,,no connection,,,
07:22:13,,,no connection,,
07:22:13,,,no connection,,
07:22:15,,,,no connection,
07:22:16,,,,no connection,
07:22:18,,,,,no connection
